severity,category,item,detail
warn,duplicate_title,GURMEAID SILIKON KALIP YARIM KURE 6'LI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__9610-0d002-00, oztiryakiler-endustriyel-mutfak__9610-0d003-00"
warn,duplicate_title,GURMEAID PECETE DISPENSERI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__9474-00nd5-00, oztiryakiler-endustriyel-mutfak__9474-00nd7-00"
warn,duplicate_title,GURMEAID MASAUSTU SERVIS 30X45 CM · Öztiryakiler Endüstriyel Mutfak · Equsto,"15 products: oztiryakiler-endustriyel-mutfak__9999-pm880-031, oztiryakiler-endustriyel-mutfak__9999-pm880-032, oztiryakiler-endustriyel-mutfak__9999-pm880-033…"
warn,duplicate_title,GURMEAID TIRBUSON · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__9595-cks75-00, oztiryakiler-endustriyel-mutfak__9595-ckstb-00"
warn,duplicate_title,GN 600 NMV TEK INOX KAPI DIK TIP BUZDOLABI K TİP · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79k3-06nmv-00, oztiryakiler-endustriyel-mutfak__79k4-06nmv-00"
warn,duplicate_title,GN 1200 NMV CIFT INOX KAPI DIK TIP BUZDOLABI K TİP · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79k3-12nmv-00, oztiryakiler-endustriyel-mutfak__79k4-12nmv-00"
warn,duplicate_title,TAG 270 NMV CIFT INOX KAPI YATAY TIP BUZDOLABI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-27nmv-00, oztiryakiler-endustriyel-mutfak__79e4-27nmv-00"
warn,duplicate_title,TAG 370 NMV 3 INOX KAPI YATAY TIP BUZDOLABI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-37nmv-00, oztiryakiler-endustriyel-mutfak__79e4-37nmv-00"
warn,duplicate_title,TAG 470 NMV 4 INOX KAPI YATAY TIP BUZDOLABI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-47nmv-00, oztiryakiler-endustriyel-mutfak__79e4-47nmv-00"
warn,duplicate_title,TAG 270 LMV CIFT INOX KAPI YATAY TIP DERIN DONDURUCU · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-27lmv-00, oztiryakiler-endustriyel-mutfak__79e4-27lmv-00"
warn,duplicate_title,TAG 370 LMV 3 INOX KAPI YATAY TIP DERIN DONDURUCU · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-37lmv-00, oztiryakiler-endustriyel-mutfak__79e4-37lmv-00"
warn,duplicate_title,TAG 470 LMV 4 INOX KAPI YATAY TIP DERIN DONDURUCU · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-47lmv-00, oztiryakiler-endustriyel-mutfak__79e4-47lmv-00"
warn,duplicate_title,TAG 270 NMV CIFT CAM KAPI YATAY TIP BUZDOLABI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-27nmv-01, oztiryakiler-endustriyel-mutfak__79e4-27nmv-01"
warn,duplicate_title,TAG 370 NMV 3 CAM KAPI YATAY TIP BUZDOLABI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-37nmv-01, oztiryakiler-endustriyel-mutfak__79e4-37nmv-01"
warn,duplicate_title,TAG 470 NMV 4 CAM KAPI YATAY TIP BUZDOLABI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-47nmv-01, oztiryakiler-endustriyel-mutfak__79e4-47nmv-01"
warn,duplicate_title,TAG 270 NMV 4  CEKMECE YATAY TIP BUZDOLABI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-27nmv-02, oztiryakiler-endustriyel-mutfak__79e4-27nmv-02"
warn,duplicate_title,TAG 370 NMV 6  CEKMECE YATAY TIP BUZDOLABI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-37nmv-02, oztiryakiler-endustriyel-mutfak__79e4-37nmv-02"
warn,duplicate_title,TAG 470 NMV 8  CEKMECE YATAY TIP BUZDOLABI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-47nmv-02, oztiryakiler-endustriyel-mutfak__79e4-47nmv-02"
warn,duplicate_title,TAG 270 LMV 4  CEKMECE YATAY TIP DERIN DONDURUCU · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-27lmv-02, oztiryakiler-endustriyel-mutfak__79e4-27lmv-02"
warn,duplicate_title,TAG 370 LMV 6  CEKMECE YATAY TIP DERIN DONDURUCU · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-37lmv-02, oztiryakiler-endustriyel-mutfak__79e4-37lmv-02"
warn,duplicate_title,TAG 470 LMV 8  CEKMECE YATAY TIP DERIN DONDURUCU · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e3-47lmv-02, oztiryakiler-endustriyel-mutfak__79e4-47lmv-02"
warn,duplicate_title,TAG 270 NMV 6  CEKMECE YATAY TIP BUZDOLABI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e4-27nmv-03, oztiryakiler-endustriyel-mutfak__79e3-27nmv-03"
warn,duplicate_title,TAG 370 NMV 9  CEKMECE YATAY TIP BUZDOLABI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e4-37nmv-03, oztiryakiler-endustriyel-mutfak__79e3-37nmv-03"
warn,duplicate_title,TAG 470 NMV 12  CEKMECE YATAY TIP BUZDOLABI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e4-47nmv-03, oztiryakiler-endustriyel-mutfak__79e3-47nmv-03"
warn,duplicate_title,TAG 270 LMV 6  CEKMECE YATAY TIP DERIN DONDURUCU · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e4-27lmv-03, oztiryakiler-endustriyel-mutfak__79e3-27lmv-03"
warn,duplicate_title,TAG 370 LMV 9  CEKMECE YATAY TIP DERIN DONDURUCU · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e4-37lmv-03, oztiryakiler-endustriyel-mutfak__79e3-37lmv-03"
warn,duplicate_title,TAG 470 LMV 12  CEKMECE YATAY TIP DERIN DONDURUCU · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__79e4-47lmv-03, oztiryakiler-endustriyel-mutfak__79e3-47lmv-03"
warn,duplicate_title,"SOĞUK ODA PANEL-SPLİT TİP, 0/+5 C · Öztiryakiler Endüstriyel Mutfak · Equsto","39 products: oztiryakiler-endustriyel-mutfak__7919-cr1515-00, oztiryakiler-endustriyel-mutfak__7919-cr2015-00, oztiryakiler-endustriyel-mutfak__7919-cr2020-00…"
warn,duplicate_title,"DEEP FREEZE PANEL-SPLİT TİP, -22/-18 C · Öztiryakiler Endüstriyel Mutfak · Equsto","39 products: oztiryakiler-endustriyel-mutfak__7919-df1515-00, oztiryakiler-endustriyel-mutfak__7919-df2015-00, oztiryakiler-endustriyel-mutfak__7919-df2020-00…"
warn,duplicate_title,EVYELİ TEZG.1G/1D SOL 3 PERDELİ 140*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-147c5-11, oztiryakiler-endustriyel-mutfak__7758-147d5-11"
warn,duplicate_title,EVYELİ TEZG.1G/1D SAĞ 3 PERDELİ 140*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7758-147c5-15, oztiryakiler-endustriyel-mutfak__7758-147d5-15"
warn,duplicate_title,EVYELİ TEZG.1G/1D SOL 3 PERDELİ  DEM. 140*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-147c5-11, oztiryakiler-endustriyel-mutfak__7754-147d5-11"
warn,duplicate_title,EVYELİ TEZG.1G/1D SAĞ 3 PERDELİ  DEM. 140*70 · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__7754-147c5-15, oztiryakiler-endustriyel-mutfak__7754-147d5-15"
