tip,marka,urun,model,sku,dept,kategori,fiyat_tl,id,eslesme
"elektrik-yedek","Öztiryakiler Endüstriyel Mutfak","REMOTE UNITE","2919.RMTCU.L1","2919.RMTCU.L1","set-ustu-mutfak","mutfak-aksesuar","34080","oztiryakiler-endustriyel-mutfak__2919-rmtcu-l1","isim"
"elektrik-yedek","Öztiryakiler Endüstriyel Mutfak","REMOTE UNITE","2919.RMTCU.L3","2919.RMTCU.L3","set-ustu-mutfak","mutfak-aksesuar","44145","oztiryakiler-endustriyel-mutfak__2919-rmtcu-l3","isim"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 10 LT CIRPMA TELI","2810.00010.16","2810.00010.16","hazirlik","mikser-aksesuar","2112","oztiryakiler-endustriyel-mutfak__2810-00010-16","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 10 LT KAZAN","2810.00010.31","2810.00010.31","hazirlik","mikser-aksesuar","1864","oztiryakiler-endustriyel-mutfak__2810-00010-31","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 10 LT PALET","2810.00010.13","2810.00010.13","hazirlik","mikser-aksesuar","2082","oztiryakiler-endustriyel-mutfak__2810-00010-13","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 10 LT S BOYNUZ","2810.00010.08","2810.00010.08","hazirlik","mikser-aksesuar","1833","oztiryakiler-endustriyel-mutfak__2810-00010-08","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 20 LT CIRPMA TELI","2810.00020.53","2810.00020.53","hazirlik","mikser-aksesuar","3075","oztiryakiler-endustriyel-mutfak__2810-00020-53","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 20 LT ICIN KAZAN 10 LTR","2810.20010.00","2810.20010.00","hazirlik","mikser-aksesuar","1957","oztiryakiler-endustriyel-mutfak__2810-20010-00","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 20 LT ICIN PALET 10 LTR","2810.20010.01","2810.20010.01","hazirlik","mikser-aksesuar","2175","oztiryakiler-endustriyel-mutfak__2810-20010-01","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 20 LT ICIN S BOYNUZ 10 LTR","2810.20010.02","2810.20010.02","hazirlik","mikser-aksesuar","2206","oztiryakiler-endustriyel-mutfak__2810-20010-02","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 20 LT KAZAN","2810.00020.06","2810.00020.06","hazirlik","mikser-aksesuar","3231","oztiryakiler-endustriyel-mutfak__2810-00020-06","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 20 LT PALET","2810.00020.50","2810.00020.50","hazirlik","mikser-aksesuar","2609","oztiryakiler-endustriyel-mutfak__2810-00020-50","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 20 LT S BOYNUZ","2810.00020.49","2810.00020.49","hazirlik","mikser-aksesuar","2144","oztiryakiler-endustriyel-mutfak__2810-00020-49","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 40 LT CIRPMA TELI","2810.00040.52","2810.00040.52","hazirlik","mikser-aksesuar","3945","oztiryakiler-endustriyel-mutfak__2810-00040-52","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 40 LT ICIN CIRPMA TELI 20 LTR","2810.40020.03","2810.40020.03","hazirlik","mikser-aksesuar","2268","oztiryakiler-endustriyel-mutfak__2810-40020-03","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 40 LT ICIN KAZAN 20 LTR.","2810.40020.00","2810.40020.00","hazirlik","mikser-aksesuar","3417","oztiryakiler-endustriyel-mutfak__2810-40020-00","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 40 LT ICIN PALET 20 LTR.","2810.40020.01","2810.40020.01","hazirlik","mikser-aksesuar","2765","oztiryakiler-endustriyel-mutfak__2810-40020-01","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 40 LT ICIN S BOYNUZ 20 LTR.","2810.40020.02","2810.40020.02","hazirlik","mikser-aksesuar","3200","oztiryakiler-endustriyel-mutfak__2810-40020-02","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 40 LT KAZAN","2810.00040.06","2810.00040.06","hazirlik","mikser-aksesuar","7455","oztiryakiler-endustriyel-mutfak__2810-00040-06","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 40 LT PALET","2810.00040.49","2810.00040.49","hazirlik","mikser-aksesuar","3106","oztiryakiler-endustriyel-mutfak__2810-00040-49","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 40 LT S BOYNUZ","2810.00040.48","2810.00040.48","hazirlik","mikser-aksesuar","2609","oztiryakiler-endustriyel-mutfak__2810-00040-48","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 60 LT CIRPMA TELI","2810.00060.17","2810.00060.17","hazirlik","mikser-aksesuar","5498","oztiryakiler-endustriyel-mutfak__2810-00060-17","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 60 LT ICIN CIRPMA TELI 40LR","2810.60040.03","2810.60040.03","hazirlik","mikser-aksesuar","2765","oztiryakiler-endustriyel-mutfak__2810-60040-03","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 60 LT ICIN KAZAN 40 LTR","2810.60040.00","2810.60040.00","hazirlik","mikser-aksesuar","7797","oztiryakiler-endustriyel-mutfak__2810-60040-00","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 60 LT ICIN PALET 40 LTR","2810.60040.01","2810.60040.01","hazirlik","mikser-aksesuar","3231","oztiryakiler-endustriyel-mutfak__2810-60040-01","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 60 LT ICIN S BOYNUZ 40LTR","2810.60040.02","2810.60040.02","hazirlik","mikser-aksesuar","4132","oztiryakiler-endustriyel-mutfak__2810-60040-02","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 60 LT KAZAN","2810.00060.06","2810.00060.06","hazirlik","mikser-aksesuar","9071","oztiryakiler-endustriyel-mutfak__2810-00060-06","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 60 LT PALET","2810.00060.14","2810.00060.14","hazirlik","mikser-aksesuar","3945","oztiryakiler-endustriyel-mutfak__2810-00060-14","kategori"
"mikser-parca","Öztiryakiler Endüstriyel Mutfak","MIKSER 60 LT S BOYNUZ","2810.00060.13","2810.00060.13","hazirlik","mikser-aksesuar","3168","oztiryakiler-endustriyel-mutfak__2810-00060-13","kategori"
"pisirme-yedek","Öztiryakiler Endüstriyel Mutfak","CAM KAPI (TA VE TAG MODELLER)","2919.CDOOR.0G","2919.CDOOR.0G","set-ustu-mutfak","mutfak-aksesuar","","oztiryakiler-endustriyel-mutfak__2919-cdoor-0g","isim"
"pisirme-yedek","Öztiryakiler Endüstriyel Mutfak","GN 1200   KILIT VE ISIK  AKSESUAR","2919.12KLG.00","2919.12KLG.00","set-ustu-mutfak","mutfak-aksesuar","3044","oztiryakiler-endustriyel-mutfak__2919-12klg-00","isim"
"pisirme-yedek","Öztiryakiler Endüstriyel Mutfak","GN 600   KILIT VE ISIK  AKSESUAR","2919.06KLG.00","2919.06KLG.00","set-ustu-mutfak","mutfak-aksesuar","1522","oztiryakiler-endustriyel-mutfak__2919-06klg-00","isim"
"pisirme-yedek","Öztiryakiler Endüstriyel Mutfak","ISPIRTOLUK ÇUBUĞU-DOKUMLU IZGARA ICIN","2864.Q3028.99","2864.Q3028.99","set-ustu-mutfak","mutfak-aksesuar","172","oztiryakiler-endustriyel-mutfak__2864-q3028-99","isim"
"pisirme-yedek","Öztiryakiler Endüstriyel Mutfak","TELLI IZGARA 900 SERI 650*535 KROM KAPLI","6019.00005.28","6019.00005.28","set-ustu-mutfak","mutfak-aksesuar","498","oztiryakiler-endustriyel-mutfak__6019-00005-28","isim"
"pisirme-yedek","Öztiryakiler Endüstriyel Mutfak","TELLI IZGARA 900 SERI 650*535 KROM KAPLI","6019.00005.28","6019.00005.28","set-ustu-mutfak","mutfak-aksesuar","498","oztiryakiler-endustriyel-mutfak__6019-00005-28","isim"
"pisirme-yedek","Öztiryakiler Endüstriyel Mutfak","TUTUŞTURUCU","2864.N1.Q3028.99","2864.N1.Q3028.99","set-ustu-mutfak","mutfak-aksesuar","","oztiryakiler-endustriyel-mutfak__2864-n1-q3028-99","isim"
"sepet-basket","Öztiryakiler Endüstriyel Mutfak","3*3 BOLMELI BARDAK BASKETI","8740.0BB09.00","8740.0BB09.00","set-ustu-mutfak","mutfak-aksesuar","688","oztiryakiler-endustriyel-mutfak__8740-0bb09-00","isim"
"sepet-basket","Öztiryakiler Endüstriyel Mutfak","3*3 BOLMELI YUKSELTICI","8740.0BY09.00","8740.0BY09.00","set-ustu-mutfak","mutfak-aksesuar","356","oztiryakiler-endustriyel-mutfak__8740-0by09-00","isim"
"sepet-basket","Öztiryakiler Endüstriyel Mutfak","4*4 BOLMELI BARDAK BASKETI","8740.0BB16.00","8740.0BB16.00","set-ustu-mutfak","mutfak-aksesuar","723","oztiryakiler-endustriyel-mutfak__8740-0bb16-00","isim"
"sepet-basket","Öztiryakiler Endüstriyel Mutfak","4*4 BOLMELI YUKSELTICI","8740.0BY16.00","8740.0BY16.00","set-ustu-mutfak","mutfak-aksesuar","373","oztiryakiler-endustriyel-mutfak__8740-0by16-00","isim"
"sepet-basket","Öztiryakiler Endüstriyel Mutfak","5*5 BOLMELI BARDAK BASKETI","8740.0BB25.00","8740.0BB25.00","set-ustu-mutfak","mutfak-aksesuar","781","oztiryakiler-endustriyel-mutfak__8740-0bb25-00","isim"
"sepet-basket","Öztiryakiler Endüstriyel Mutfak","5*5 BOLMELI YUKSELTICI","8740.0BY25.00","8740.0BY25.00","set-ustu-mutfak","mutfak-aksesuar","409","oztiryakiler-endustriyel-mutfak__8740-0by25-00","isim"
"sepet-basket","Öztiryakiler Endüstriyel Mutfak","6*6 BOLMELI BARDAK BASKETI","8740.0BB36.00","8740.0BB36.00","set-ustu-mutfak","mutfak-aksesuar","824","oztiryakiler-endustriyel-mutfak__8740-0bb36-00","isim"
