model;sku;fix_tip;before_kaynak;after_kaynak;pdf_liste_eur;mut_liste_eur;before_tl;after_tl;diff_tl;pdf_key
KO-120T;118.KO.120T;price_down;senox-pdf-2026-1;senox-pdf-2026-1;5600;7224;181186;181617;431;KO120T
300LK;118.300LK;price_down;senox-pdf-2026-1;senox-pdf-2026-1;5200;5934;168244;168644;400;300LK
DT-6;118.DT.6;price_down;senox-pdf-2026-1;senox-pdf-2026-1;5000;6450;161773;162158;385;DT6
SSC-1600;118.SSC.1600;price_down;senox-mutbex-liste;senox-mutbex-liste;;4773;154428;154796;368;
SFT-03-PRO;118.SFT.03.Pro;price_down;senox-pdf-2026-1;senox-pdf-2026-1;4700;6063;152067;152429;362;SFT03PRO
SEMG-16K;118.SEMG.16K;price_down;senox-mutbex-liste;senox-mutbex-liste;;4515;146081;146429;348;
SSC-1500;118.SSC.1500;price_down;senox-mutbex-liste;senox-mutbex-liste;;4515;146081;146429;348;
SFT-02-PRO;118.SFT.02.Pro;price_down;senox-pdf-2026-1;senox-pdf-2026-1;4500;5805;145596;145942;346;SFT02PRO
SC-900-K;118.SC900.K;price_down;senox-mutbex-liste;senox-mutbex-liste;;4300;139125;139456;331;
SDS-1510-DC-3CF;118.SDS1510.DC3CF;price_down;senox-mutbex-liste;senox-mutbex-liste;;4257;137733;138061;328;
BLK-01-110;118.BLK01.110;price_down;senox-mutbex-liste;senox-mutbex-liste;;4128;133560;133878;318;
BLK-01-90;118.BLK01.90;price_down;senox-mutbex-liste;senox-mutbex-liste;;3934.5;127299;127602;303;
DP-250;118.DP.250;price_down;senox-mutbex-liste;senox-mutbex-liste;;3870;125212;125510;298;
MT-123;118.MT.123;price_down;senox-mutbex-liste;senox-mutbex-liste;;3870;125212;125510;298;
ADA-180T;118.ADA.180T;price_down;senox-pdf-2026-1;senox-pdf-2026-1;3500;9030;113241;113511;270;ADA180T
MT-153;118.MT.153;price_down;senox-pdf-2026-1;senox-pdf-2026-1;3500;4515;113241;113511;270;MT153
WN-400;118.WN.400;price_down;senox-pdf-2026-1;senox-pdf-2026-1;3400;4386;110006;110268;262;WN400
CKA;118.CKA;price_down;senox-mutbex-liste;senox-mutbex-liste;;3289.5;106430;106684;254;
DP-270;118.DP.270;price_down;senox-mutbex-liste;senox-mutbex-liste;;3096;100170;100408;238;
SSC-900;118.SSC.900;price_down;senox-mutbex-liste;senox-mutbex-liste;;3031.5;98083;98316;233;
SSC-900K;118.SSC.900K;price_down;senox-mutbex-liste;senox-mutbex-liste;;3031.5;98083;98316;233;
SDS-1510-DC-3YF;118.SDS1510.DC3YF;price_down;senox-pdf-2026-1;senox-pdf-2026-1;3000;3870;97064;97295;231;SDS1510DC3YF
