scope	brand	category	subcategory	sku	product_code	barcode	equsto_name	equsto_price_vat_included	mutbex_name	mutbex_price_vat_included	difference_tl	difference_percent	classification	match_method	confidence	stock_status	equsto_url	mutbex_url	notes
HAZIRLIK	Dito Sama	Hazırlık	Net A İrlik	208.650197	DİTO		Dito Sama Prep4You Sebze Doğrama Disk Seti, 6 Adet	20068.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.650197		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Patates Cips Do Rama Makinalari	208.600965	DİTO		Dito Sama Prep4You Cutter Mikser, Mutfak Robotu, 3.6 L	47436.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600965		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Patates Cips Do Rama Makinalari	208.600967	DİTO		Dito Sama Prep4You Cutter Mikser, Mutfak Robotu, 9 Kademeli Hız, 3.6 L	66104.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600967		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Patates Cips Do Rama Makinalari	208.600959	DİTO		Dito Sama Prep4You Cutter Mikser, Mutfak Robotu, Paslanmaz Hazne, 2.6 L	44622.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600959		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Patates Cips Do Rama Makinalari	208.600960	DİTO		Dito Sama Prep4You Cutter Mikser, Mutfak Robotu, Plastik Hazne, 2.6 L	40258.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600960		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Planet Mikserler	208.600137	DİTO		Dito Sama BE5 Planet Mikser, 5 L	68433.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600137		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Planet Mikserler	208.600139	DİTO		Dito Sama BE8 Planet Mikser, 8 L	80352.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600139		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Planet Mikserler	208.603797	DİTO		Dito Sama Dmix Set Üstü Mikser, 5 L, Siyah	39844.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.603797		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Sebze Do Rama Makinalari	208.600419	DİTO		Dito Sama TRS Sebze Doğrama Makinesi, 1 Hızlı, 500 kg/saat	66840.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600419		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Sebze Do Rama Makinalari	208.600423	DİTO		Dito Sama TRS Sebze Doğrama Makinesi, 2 Hızlı, 500 kg/saat	87267.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600423		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Sebze Do Rama Makinalari	208.600424	DİTO		Dito Sama TRS Sebze Doğrama Makinesi, Hız Varyatörlü, 500 kg/saat	86537.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600424		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Speedy M Kser 250 Watt	208.650057	DİTO		Dito Sama 603677 El Blender için Çırpıcı	8176.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.650057		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Speedy M Kser 250 Watt	208.650108	DİTO		Dito Sama Bermixer için Çırpıcı	9848.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.650108		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Speedy M Kser 250 Watt	208.600314	DİTO		Dito Sama Bermixer Pro El Blender, 353 mm, 350 W	19829.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600314		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Speedy M Kser 250 Watt	208.600320	DİTO		Dito Sama Bermixer Pro El Blender, 453 mm, 350 W	20676.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600320		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Speedy M Kser 250 Watt	208.600329	DİTO		Dito Sama Bermixer Pro El Blender, 553 mm, 450 W	21163.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600329		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Speedy M Kser 250 Watt	208.600392	DİTO		Dito Sama Bermixer Pro El Mikser, 353 mm, 450 W	20068.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600392		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Speedy M Kser 250 Watt	208.600321	DİTO		Dito Sama Bermixer Pro El Mikser, 453 mm, 450 W	20950.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600321		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Speedy M Kser 250 Watt	208.603464	DİTO		Dito Sama Speedy El Blender, 1 Hızlı, 200 mm, 250 W	14869.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.603464		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Speedy M Kser 250 Watt	208.603465	DİTO		Dito Sama Speedy El Blender, 1 Hızlı, 250 mm, 250 W	15477.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.603465		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Speedy M Kser 250 Watt	208.603676	DİTO		Dito Sama Speedy El Blender, Hız Varyatörlü, 200 mm, 250 W	19431.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.603676		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Vakum Paketleme Makinalari	208.602184	DİTO		Dito Sama Vakumlu Paketleme Makinesi, 8 m3/h	123726.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.602184		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe10 Xbm10 10 Litre	208.600142	DİTO		Dito Sama XBE10 Planet Mikser, 10 L	132247.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600142		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe10 Xbm10 10 Litre	208.600155	DİTO		Dito Sama XBE20 Planet Mikser, 20 L	201200.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600155		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe10 Xbm10 10 Litre	208.600157	DİTO		Dito Sama XBE20 Standlı Planet Mikser, 20 L	209562.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600157		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe10 Xbm10 10 Litre	208.600141	DİTO		Dito Sama XBM10 Planet Mikser, 10 L	161946.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600141		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe10 Xbm10 10 Litre	208.600145	DİTO		Dito Sama XBM20 Planet Mikser, 20 L	193991.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600145		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe10 Xbm10 10 Litre	208.600150	DİTO		Dito Sama XBM20 Standlı Planet Mikser, 20 L	209015.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600150		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Xbe30 Xbm30 30 Litre	208.600175	DİTO		Dito Sama MBE40 Planet Mikser, 40 L, 220V	365444.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600175		No match found on Mutbex
