decision	confidence	reason	lang	dept	slug	target	was_login	url
DROP_NO_VALUE	high	no_product_match	tr	tezgah	tb04-503030-00		False	https://equsto.com/shop/tezgah/tb04-503030-00
DROP_NO_VALUE	high	no_product_match	en	davlumbaz	pimak-60155-00		False	https://equsto.com/en/shop/davlumbaz/pimak-60155-00
DROP_NO_VALUE	high	no_product_match	tr	tezgah	mr38-1-1404060-10		False	https://equsto.com/shop/tezgah/mr38-1-1404060-10
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-18060-14		False	https://equsto.com/shop/tezgah/pimak-18060-14
DROP_NO_VALUE	high	no_product_match	en	hazirlik	rc-27066		False	https://equsto.com/en/shop/hazirlik/rc-27066
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-10708-23		False	https://equsto.com/shop/tezgah/pimak-10708-23
DROP_NO_VALUE	high	no_product_match	tr	davlumbaz	pimak-30155-00		False	https://equsto.com/shop/davlumbaz/pimak-30155-00
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-12070-51		False	https://equsto.com/en/shop/tezgah/pimak-12070-51
DROP_NO_VALUE	high	no_product_match	tr	davlumbaz	pimak-55205-00		False	https://equsto.com/shop/davlumbaz/pimak-55205-00
DROP_NO_VALUE	high	no_product_match	tr	davlumbaz	pimak-60155-00		False	https://equsto.com/shop/davlumbaz/pimak-60155-00
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-18070-25		False	https://equsto.com/en/shop/tezgah/pimak-18070-25
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-19070-25		False	https://equsto.com/en/shop/tezgah/pimak-19070-25
DROP_NO_VALUE	high	no_product_match	tr	tezgah	mr38-1-1204060-10		False	https://equsto.com/shop/tezgah/mr38-1-1204060-10
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-27066		False	https://equsto.com/shop/hazirlik/rc-27066
DROP_NO_VALUE	high	no_product_match	en	hazirlik	rc-28158w		False	https://equsto.com/en/shop/hazirlik/rc-28158w
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-34800		False	https://equsto.com/shop/hazirlik/rc-34800
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-16070-11		False	https://equsto.com/en/shop/tezgah/pimak-16070-11
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-nergis-lb-fg-sky-eq34		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-nergis-lb-fg-sky-eq34
DROP_NO_VALUE	high	no_product_match	en	tezgah	dr04-1603030-00		False	https://equsto.com/en/shop/tezgah/dr04-1603030-00
DROP_NO_VALUE	high	login_next_no_product	en	marka	npicco		True	https://equsto.com/en/login.html?next=/en/shop/marka/npicco
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-20070-11		False	https://equsto.com/en/shop/tezgah/pimak-20070-11
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-14070-50		False	https://equsto.com/shop/tezgah/pimak-14070-50
DROP_NO_VALUE	high	no_product_match	en	hazirlik	rc-27051		False	https://equsto.com/en/shop/hazirlik/rc-27051
DROP_NO_VALUE	high	no_product_match	en	hazirlik	rc-2115		False	https://equsto.com/en/shop/hazirlik/rc-2115
DROP_NO_VALUE	high	no_product_match	en	tezgah	mr38-1-2004060-10		False	https://equsto.com/en/shop/tezgah/mr38-1-2004060-10
DROP_NO_VALUE	high	no_product_match	en	hazirlik	robot-coupe__french-fries-kesme-diski		False	https://equsto.com/en/shop/hazirlik/robot-coupe__french-fries-kesme-diski
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-nergis-lb-fg-sky-eq21		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-nergis-lb-fg-sky-eq21
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-12070-11		False	https://equsto.com/shop/tezgah/pimak-12070-11
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-16070-11		False	https://equsto.com/shop/tezgah/pimak-16070-11
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-19070-46		False	https://equsto.com/shop/tezgah/pimak-19070-46
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-10070-11		False	https://equsto.com/en/shop/tezgah/pimak-10070-11
DROP_NO_VALUE	high	no_product_match	en	hazirlik	robot-coupe__kesme-diski-2-mm-cl-20-uyumlu		False	https://equsto.com/en/shop/hazirlik/robot-coupe__kesme-diski-2-mm-cl-20-uyumlu
DROP_NO_VALUE	high	not_sellable	en	istif	alt-sase-iki-adet		True	https://equsto.com/en/login.html?next=/en/shop/istif/alt-sase-iki-adet
DROP_NO_VALUE	high	no_product_match	en	hazirlik	rc-22382		False	https://equsto.com/en/shop/hazirlik/rc-22382
DROP_NO_VALUE	high	no_product_match	en	kahve	artemis-artemis-mix-2010-a-bar-mikser		False	https://equsto.com/en/shop/kahve/artemis-artemis-mix-2010-a-bar-mikser
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-2812070		False	https://equsto.com/en/shop/tezgah/pimak-2812070
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-12060-11		False	https://equsto.com/shop/tezgah/pimak-12060-11
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-12060-46		False	https://equsto.com/shop/tezgah/pimak-12060-46
DROP_NO_VALUE	high	no_product_match	tr	kahve	9574-m200-00		False	https://equsto.com/shop/kahve/9574-m200-00
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-18060-12		False	https://equsto.com/shop/tezgah/pimak-18060-12
DROP_NO_VALUE	high	no_product_match	en	hazirlik	rc-27068		False	https://equsto.com/en/shop/hazirlik/rc-27068
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-nergis-lb-tp-eq34		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-nergis-lb-tp-eq34
DROP_NO_VALUE	high	no_product_match	en	davlumbaz	equsto-50155-00		False	https://equsto.com/en/shop/davlumbaz/equsto-50155-00
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-07070-11		False	https://equsto.com/en/shop/tezgah/pimak-07070-11
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-14070-46		False	https://equsto.com/shop/tezgah/pimak-14070-46
DROP_NO_VALUE	high	no_product_match	tr	tezgah	dr04-903030-00		False	https://equsto.com/shop/tezgah/dr04-903030-00
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-yasemin-nt-eq3		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-yasemin-nt-eq3
DROP_NO_VALUE	high	no_product_match	en	tezgah	dr04-1803030-00		False	https://equsto.com/en/shop/tezgah/dr04-1803030-00
DROP_NO_VALUE	high	no_product_match	tr	sogutma	9805-im45cne-hc		False	https://equsto.com/shop/sogutma/9805-im45cne-hc
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-19060-51		False	https://equsto.com/en/shop/tezgah/pimak-19060-51
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-20060-11		False	https://equsto.com/en/shop/tezgah/pimak-20060-11
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-20070-14		False	https://equsto.com/en/shop/tezgah/pimak-20070-14
DROP_NO_VALUE	high	non_product_url	en				True	https://equsto.com/en/login.html?next=/en/besos/modul/pl-sm-s-n-3-09
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-16060-46		False	https://equsto.com/en/shop/tezgah/pimak-16060-46
DROP_NO_VALUE	high	no_product_match	tr	sogutma	oztiryakiler-endustriyel-mutfak__9805-awne-hc		False	https://equsto.com/shop/sogutma/oztiryakiler-endustriyel-mutfak__9805-awne-hc
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-16060-50		False	https://equsto.com/shop/tezgah/pimak-16060-50
DROP_NO_VALUE	high	no_product_match	en	hazirlik	robot-coupe__robot-coupe-89213-micromix-yedek-bicak		False	https://equsto.com/en/shop/hazirlik/robot-coupe__robot-coupe-89213-micromix-yedek-bicak
DROP_NO_VALUE	high	no_product_match	tr	tezgah	equsto-19070-50		False	https://equsto.com/shop/tezgah/equsto-19070-50
DROP_NO_VALUE	high	not_sellable	en	hazirlik	tmfa250		True	https://equsto.com/en/login.html?next=/en/shop/hazirlik/tmfa250
DROP_NO_VALUE	high	no_product_match	en	icecek	urban-bar__uba4020		False	https://equsto.com/en/shop/icecek/urban-bar__uba4020
DROP_NO_VALUE	high	no_product_match	tr	tezgah	mr38-904060-00		False	https://equsto.com/shop/tezgah/mr38-904060-00
DROP_NO_VALUE	high	no_product_match	tr	tasima	tezgah.html		False	https://equsto.com/shop/tasima/tezgah.html
DROP_NO_VALUE	high	no_product_match	tr	tezgah	pimak-18070-11		False	https://equsto.com/shop/tezgah/pimak-18070-11
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-fulya-hf-pn-eq16		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-fulya-hf-pn-eq16
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-lotus-eq44		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-lotus-eq44
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-lotus-lb-eq9		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-lotus-lb-eq9
DROP_NO_VALUE	high	no_product_match	en	sogutma	yikama.html		False	https://equsto.com/en/shop/sogutma/yikama.html
DROP_NO_VALUE	high	no_product_match	tr	set-ustu-mutfak	9531-0pw-a-00		False	https://equsto.com/shop/set-ustu-mutfak/9531-0pw-a-00
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-34310b		False	https://equsto.com/shop/hazirlik/rc-34310b
DROP_NO_VALUE	high	no_product_match	en	icecek	urban-bar__uba7922		False	https://equsto.com/en/shop/icecek/urban-bar__uba7922
DROP_NO_VALUE	high	no_product_match	tr	icecek	uba7922		False	https://equsto.com/shop/icecek/uba7922
DROP_NO_VALUE	high	no_product_match	tr	set-ustu-mutfak	0143-01808-21		False	https://equsto.com/shop/set-ustu-mutfak/0143-01808-21
DROP_NO_VALUE	high	no_product_match	tr	pisirme	oztiryakiler-endustriyel-mutfak-sicak-servis-unitesi-ve-ayakli-sicak-tututcu-lamba-seti-2-1		False	https://equsto.com/shop/pisirme/oztiryakiler-endustriyel-mutfak-sicak-servis-unitesi-ve-ayakli-sicak-tututcu-lamba-seti-2-1
DROP_NO_VALUE	high	no_product_match	tr	sogutma	oztiryakiler-tek-i-noks-kapi-dik-tip-derin-dondurucu-k-tip		False	https://equsto.com/shop/sogutma/oztiryakiler-tek-i-noks-kapi-dik-tip-derin-dondurucu-k-tip
DROP_NO_VALUE	high	no_product_match	tr	tezgah	equsto-2814070		False	https://equsto.com/shop/tezgah/equsto-2814070
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	davlumbaz.html		False	https://equsto.com/shop/market-reyonlari/davlumbaz.html
DROP_NO_VALUE	high	not_sellable	en	set-ustu-mutfak	8893-up101-l0		True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/8893-up101-l0
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	oztiryakiler-robot-coupe-rende-5-mm		False	https://equsto.com/shop/hazirlik/oztiryakiler-robot-coupe-rende-5-mm
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-27447		False	https://equsto.com/shop/hazirlik/rc-27447
DROP_NO_VALUE	high	not_sellable	en	istif	derin-sepet		True	https://equsto.com/en/login.html?next=/en/shop/istif/derin-sepet
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-nergis-lb-fg-eq7		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-nergis-lb-fg-eq7
DROP_NO_VALUE	high	non_product_url	en		/en/restaurant-kitchen-checklist-2026		False	https://equsto.com/en/restaurant-kitchen-checklist-2026
DROP_NO_VALUE	high	no_product_match	tr	icecek	oztiryakiler-endustriyel-mutfak__0466-00809-01		False	https://equsto.com/shop/icecek/oztiryakiler-endustriyel-mutfak__0466-00809-01
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-1946		False	https://equsto.com/shop/hazirlik/rc-1946
DROP_NO_VALUE	high	no_product_match	en	icecek	robot-coupe__j100-ultra-otomatik-kati-meyve-sikacagi		False	https://equsto.com/en/shop/icecek/robot-coupe__j100-ultra-otomatik-kati-meyve-sikacagi
